LAT,LONG,cant_CP
25.67385428,-100.3127075,5476
25.675354,-100.293084,295
25.70000401,-100.3515753,30
25.66844789,-100.3004035,7
25.68881616,-100.3469555,338
25.68262574,-100.3424906,359
25.67540905,-100.3376041,71
25.67777553,-100.3517894,127
25.67189992,-100.3439645,586
25.66850471,-100.3325515,127
25.76038547,-100.3962814,194
25.7732506,-100.3961999,125
25.74571369,-100.3659228,117
25.75725864,-100.370966,51
25.77079412,-100.3762331,52
26.39693458,-100.1095949,21
25.75551757,-100.3792861,10
25.75338533,-100.3933129,117
25.75676848,-100.3884113,12
25.74307951,-100.3746415,18
25.7460419,-100.3843791,42
25.73403859,-100.3734972,166
25.74060975,-100.3795664,38
25.74296715,-100.3809815,11
25.74771952,-100.3644039,36
25.74636691,-100.368219,23
25.7422278,-100.3575545,135
25.73862244,-100.3648697,8
25.7320035,-100.3594485,2
25.7290066,-100.3668137,65
25.73408184,-100.3619559,5
25.73274337,-100.3649031,3
25.72892414,-100.3559342,5
25.73113501,-100.348051,50
25.74514383,-100.3604086,25
25.7341392,-100.3503708,1
25.72544004,-100.3573181,53
25.72375433,-100.3611388,4
25.72737244,-100.3475532,167
25.71768723,-100.3492882,4
25.71607187,-100.3421084,36
25.72667171,-100.320135,1388
25.78824303,-100.3783691,3
25.76887356,-100.3680773,17
25.7686546,-100.36786,1
25.79105849,-100.3865418,13
25.79205273,-100.3811775,32
25.76578682,-100.36209,90
25.7617334,-100.356899,2
25.75896876,-100.3642166,35
25.74743394,-100.3542778,24
25.77048403,-100.3617443,15
25.71651113,-100.3211952,10
25.75393065,-100.3497237,2
25.751563,-100.34718,1
25.74273745,-100.3504658,2
25.75098598,-100.3551725,16
25.7492089,-100.3482815,3
25.7449426,-100.3482843,1
25.7382376,-100.3497923,1
25.7488142,-100.3444612,3
25.7457249,-100.3434693,4
25.7436221,-100.3421696,1
25.748503,-100.3451184,1
25.7464038,-100.3475373,3
25.73855997,-100.3456557,42
25.73399565,-100.342533,2
25.7389839,-100.3374422,2
25.77494398,-100.3881954,10
25.74176211,-100.3398218,7
25.72980391,-100.3383903,115
25.74146007,-100.3457126,10
25.73025768,-100.344329,24
25.73244708,-100.3272044,284
25.73108425,-100.3227214,2
25.7331667,-100.3229142,5
25.73920698,-100.3339434,5
25.74073262,-100.3214337,15
25.72380719,-100.3382903,96
25.71599907,-100.330663,190
25.71058764,-100.3179836,118
25.7147482,-100.3368255,1
25.68739052,-100.3492243,208
25.71467911,-100.3582833,97
25.7143932,-100.345113,449
25.71760485,-100.3579202,2408
25.71787155,-100.3652168,47
25.73564638,-100.3967945,111
25.73138648,-100.3980227,62
25.73203943,-100.4029602,4
25.75969898,-100.4084183,663
25.74030107,-100.3859499,22
25.74220827,-100.3903901,33
25.75219394,-100.4141072,653
25.73349716,-100.3815949,92
25.72598788,-100.3751744,44
25.7213153,-100.3819536,2
25.72425369,-100.3784207,13
25.72827013,-100.3679344,7
25.7246982,-100.3853325,10
25.73013158,-100.3767365,8
25.72038661,-100.3742449,56
25.70965733,-100.3656276,149
25.70274462,-100.3553153,38
25.73815132,-100.3720808,149
25.70063645,-100.3175709,353
25.6996113,-100.332695,62
25.69161163,-100.3241501,19
25.70286617,-100.3513088,163
25.69079865,-100.3243139,303
25.69573283,-100.3149014,119
25.69594851,-100.3455134,722
25.69027172,-100.3146228,56
25.68783785,-100.3340863,146
25.69193004,-100.331379,12
25.69590186,-100.3297136,16
25.6869169,-100.3155198,181
25.71232391,-100.3043248,270
25.71260506,-100.2990347,27
25.70679137,-100.2872236,178
25.7042389,-100.2741848,6
25.70200668,-100.3031886,135
25.70295665,-100.2873188,259
25.69400956,-100.2858006,7
25.69409841,-100.2672101,177
25.70072127,-100.2654127,13
25.69346471,-100.2954661,120
25.68866609,-100.2776613,42
25.6889508,-100.2814095,3
25.70048329,-100.3608622,47
25.6866918,-100.3077222,122
25.68917052,-100.2963042,306
25.68453812,-100.2669841,3399
25.69669299,-100.3524289,219
25.71389612,-100.3796722,685
25.73823329,-100.3860413,1555
25.68648329,-100.3547279,2884
25.68650601,-100.3677543,92
25.69359992,-100.3787974,83
25.68056862,-100.3652017,42
25.68216645,-100.364465,132
25.68623164,-100.3645722,54
25.69394633,-100.3741189,15
25.69759234,-100.3711791,34
25.69695995,-100.3756953,22
25.69427291,-100.3743697,48
25.6794354,-100.3587261,492
25.67853453,-100.3558509,4
25.67305304,-100.3739127,258
25.67755016,-100.3657658,77
25.67272917,-100.3671985,158
25.65560654,-100.296036,681
25.69872807,-100.3315579,3
25.66662138,-100.3416509,685
25.66329923,-100.3370035,3
25.668889,-100.3500332,114
25.66040715,-100.3166524,305
25.64804324,-100.3095817,17
25.64180264,-100.2903343,151
25.63970255,-100.3092278,273
25.63837883,-100.3146518,143
25.6354661,-100.3097659,42
25.63317256,-100.2994755,109
25.62928218,-100.2946477,32
25.63239621,-100.3034425,154
25.63425405,-100.2943853,28
25.63833951,-100.2888465,79
25.62600286,-100.2807377,236
25.62945924,-100.2814219,8
25.63345768,-100.2878889,5
25.62037659,-100.2790599,448
25.6282225,-100.2927161,4
25.6252603,-100.2881574,4
25.66921625,-100.2829104,279
25.66299035,-100.2908789,347
25.66436895,-100.2786703,178
25.6507824,-100.2771091,1
25.65335598,-100.2797439,259
25.6487227,-100.2841249,4
25.64879427,-100.2742143,44
25.64586555,-100.2883614,161
25.6468558,-100.2839024,4
25.6414041,-100.2820258,5
25.64778498,-100.2830598,5
25.64243051,-100.2745348,264
25.6438589,-100.2815819,1
25.6407864,-100.2734358,1
25.64206379,-100.2741592,23
25.63347422,-100.2779361,580
25.61850094,-100.2682106,7
25.61838184,-100.2653465,23
25.61428646,-100.271035,25
25.58531872,-100.262754,286
25.59559763,-100.255543,138
25.62540003,-100.299887,85
25.63008549,-100.3008607,13
25.66030847,-100.3251133,45
25.62717583,-100.2988275,464
25.61996319,-100.303843,99
25.61708197,-100.2829593,151
25.6097556,-100.2749276,12
25.6099471,-100.2773237,1
25.61039146,-100.2726257,27
25.60425203,-100.2694443,122
25.60581046,-100.2781759,15
25.6005757,-100.2733294,4
25.5964235,-100.2641137,1
25.58046732,-100.2511868,13
25.59524097,-100.2678711,58
25.59940675,-100.2786312,20
25.57279165,-100.2479651,2
25.57710439,-100.2465922,201
25.53895526,-100.218719,84
25.55403863,-100.2271033,47
25.56674378,-100.2373529,35
25.58978416,-100.2557753,985
25.58028146,-100.2584501,175
25.52925553,-100.2060542,15
25.51674651,-100.2186147,7
27.7045499,-99.7609631,1
27.21376429,-99.9211226,89
27.33794114,-99.94261331,7
26.98742528,-100.4927424,32
26.15284503,-100.6780916,70
26.00824245,-100.5486992,2
26.53988141,-100.5010633,16
26.49184662,-100.1594297,134
26.50912381,-100.1730797,21
26.51276696,-100.1928728,8
26.51333693,-100.1769122,4
26.5346248,-100.1698956,2
26.4860187,-100.215784,2
26.50404149,-100.1999903,13
26.49570848,-100.1762841,15
26.4842163,-100.1724693,2
26.4780494,-100.1701375,3
26.4906961,-100.0766248,1
26.48131179,-100.4170469,38
26.5506373,-100.4596569,1
26.54433554,-99.99563689,233
26.5027416,-99.5192171,1
25.96283357,-100.2565521,420
25.950872,-100.3155732,2
25.9755462,-100.2862872,2
25.91469591,-100.2663581,9
25.88691863,-100.2596153,7
26.0500359,-100.3250509,1
25.94681456,-100.193989,239
25.9535599,-100.1598222,1
25.9149817,-100.2185512,1
25.93365756,-100.182837,30
25.96407803,-100.1715579,3
25.9671871,-100.1716101,2
25.96183427,-100.158738,6
25.97176513,-100.4480653,80
25.93783578,-100.3973944,30
25.94459767,-100.0124358,3
25.88707089,-100.2023772,350
25.89994637,-100.1656749,43
25.90947552,-100.1737071,38
26.30771595,-99.54343635,2
26.259365,-99.762694,1
26.2245503,-99.4852978,1
26.0875721,-99.6116283,16
26.0561426,-99.5427377,1
25.76528538,-100.4558583,1240
25.78880931,-100.5793287,80
25.78826077,-100.5868196,78
25.7885178,-100.4801283,154
25.80534733,-100.6088739,3
25.806751,-100.6132774,1
25.81025369,-100.6227299,18
25.66384848,-100.7086216,4
25.77832107,-100.4408132,317
25.77804656,-100.4254718,119
25.7923425,-100.4830799,8
